Hugo_Symbol	Entrez_Gene_Id	M032_Pre	M032_R1	M032_R2	M032_R3	M032_R5	M032_R6
ADCK3	56997	-0.031	0.027	0.018	0.032	-0.042	0.191
HAX1	10456	-0.428	-0.339	0.018	0.032	0.092	0.131
AQP10	89872	-0.428	-0.339	0.018	0.032	0.092	0.131
RAB3B	5865	-0.366	-0.263	0.075	0.012	0.057	-0.111
ATP8B2	57198	-0.428	-0.339	0.018	0.032	0.092	0.131
TXNDC12	51060	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
KTI12	112970	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
IL6R	3570	-0.428	-0.339	0.018	0.032	0.092	0.131
BTF3L4	91408	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
SHE	126669	-0.428	-0.074	0.018	0.032	0.092	0.131
TDRD10	126668	-0.428	-0.074	0.018	0.032	0.092	0.131
ZFYVE9	9372	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
UBE2Q1	55585	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
CHRNB2	1141	-0.428	-0.074	0.018	0.032	0.092	0.131
CC2D1B	200014	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
CDC42BPA	8476	-0.031	0.027	0.018	0.032	-0.042	0.191
ADAR	103	-0.428	-0.074	0.018	0.032	0.092	0.131
ORC1	4998	-0.366	-0.263	0.075	0.012	0.057	-0.111
PRPF38A	84950	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
KCNN3	3782	-0.428	-0.074	0.018	0.032	0.092	0.131
ZNF678	339500	-0.031	0.027	0.018	0.032	-0.042	0.191
PMVK	10654	-0.428	-0.074	0.018	0.032	0.092	0.131
SNAP47	116841	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
SNAP47	100130093	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
JMJD4	65094	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
PRSS38	339501	-0.031	0.027	0.379	0.032	0.575	0.191
PBXIP1	57326	-0.428	-0.074	0.018	0.032	0.092	0.131
WNT9A	7483	-0.031	0.027	0.379	0.032	0.575	0.191
WNT3A	89780	-0.031	0.027	0.379	0.032	0.575	0.191
PYGO2	90780	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
ARF1	375	-0.031	0.027	0.379	0.412	0.575	0.191
ARF1	100500810	-0.031	0.027	0.379	0.412	0.575	0.191
ZCCHC11	23318	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
C1orf35	79169	-0.031	0.027	0.379	0.412	0.575	0.191
GPX7	2882	-0.366	-0.263	0.075	0.012	0.057	-0.111
FAM159A	348378	-0.366	-0.263	0.075	0.012	0.057	-0.111
SELRC1	65260	-0.366	-0.263	0.075	0.012	0.057	-0.111
ZYG11B	79699	-0.366	-0.263	0.075	0.012	0.057	-0.111
SHC1	6464	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
ZYG11A	440590	-0.366	-0.263	0.075	0.012	0.057	-0.111
MRPL55	128308	-0.031	0.027	0.379	0.412	0.575	0.191
ECHDC2	55268	-0.366	-0.263	0.075	0.012	0.057	-0.111
CKS1B	1163	-0.428	-0.074	0.018	0.032	0.092	0.131
FLAD1	80308	-0.428	-0.074	0.018	0.032	0.092	0.131
LENEP	55891	-0.428	-0.074	0.018	0.032	0.092	0.131
SCP2	6342	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
ZBTB7B	51043	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
DCST2	127579	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
PODN	127435	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
SLC1A7	6512	-0.366	0.004	0.075	0.012	0.057	-0.111
GUK1	2987	-0.031	0.027	0.379	0.412	0.575	0.191
CPT2	1376	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
DCST1	149095	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
C1orf123	54987	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
MAGOH	4116	-0.366	0.004	0.075	0.012	0.057	-0.111
GJC2	57165	-0.031	0.027	0.379	0.412	0.575	0.191
C1orf148	574432	-0.031	0.027	0.379	0.412	0.575	0.191
IBA57	200205	-0.031	0.027	0.379	0.412	0.575	0.191
LRP8	7804	-0.366	0.004	0.075	0.012	0.057	-0.111
DMRTB1	63948	-0.366	0.004	0.075	0.012	0.057	-0.111
GLIS1	148979	-0.366	0.004	0.075	0.012	0.057	-0.111
NDC1	55706	-0.366	0.004	0.075	0.012	0.057	-0.111
YIPF1	54432	-0.366	0.004	0.075	0.012	0.057	-0.111
ADAM15	8751	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
DIO1	1733	-0.366	0.004	0.075	0.012	0.057	-0.111
HSPB11	51668	-0.366	0.004	0.075	0.012	0.057	-0.111
LRRC42	115353	-0.366	0.004	0.075	0.012	0.057	-0.111
LDLRAD1	388633	-0.366	0.004	0.075	0.012	0.057	-0.111
EFNA4	1945	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
EFNA3	1944	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
OBSCN	84033	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
EFNA1	1942	-0.428	-0.244	0.018	0.032	0.092	0.131
TMEM59	9528	-0.366	0.004	0.075	0.012	0.057	-0.111
SLC50A1	55974	-0.428	-0.244	0.018	0.032	0.092	0.131
DPM3	54344	-0.428	-0.244	0.018	0.032	0.092	0.131
TCEANC2	127428	-0.366	0.004	0.075	0.012	0.057	-0.111
KRTCAP2	200185	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
CDCP2	200008	-0.366	0.004	0.075	0.012	0.057	-0.111
TRIM11	81559	-0.031	0.027	0.379	0.412	0.575	0.191
CYB5RL	606495	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
TRIM17	51127	-0.031	0.027	0.379	0.412	0.575	0.191
TRIM46	80128	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
MRPL37	51253	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
HIST3H3	8290	-0.031	0.027	0.379	0.412	0.575	0.191
HIST3H2A	92815	-0.031	0.027	0.379	0.412	0.575	0.191
HIST3H2BB	128312	-0.031	0.027	0.379	0.412	0.575	0.191
RNF187	149603	-0.031	0.027	0.379	0.412	0.575	0.191
RHOU	58480	-0.101	0.027	0	0.097	0.018	-0.187
RAB4A	5867	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
RAB4A	10638	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
SSBP3	23648	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
SPHAR	10638	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
CCSAP	126731	-0.101	0.027	0	0.097	0.018	-0.187
ACTA1	58	-0.101	0.027	0	0.097	0.018	-0.187
MUC1	4582	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
ACOT11	26027	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
FAM151A	338094	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366
NUP133	55746	-0.101	0.027	0	0.097	0.018	-0.187
ABCB10	23456	-0.101	0.027	0	0.097	0.018	-0.187
THBS3	7059	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
TAF5L	27097	-0.101	0.027	0	0.097	0.018	-0.187
URB2	9816	-0.101	0.027	0	0.097	0.018	-0.187
MROH7	374977	-0.366	0.004	0.075	0.012	0.057	-0.111
GALNT2	2590	-0.101	0.027	0	0.097	0.018	-0.187
MTX1	4580	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
PGBD5	79605	-0.101	0.027	0	0.097	0.018	-0.187
TTC4	7268	-0.366	0.004	0.075	0.012	0.057	-0.111
COG2	22796	-0.101	0.027	0	0.097	0.018	-0.187
GBA	2629	-0.428	-0.244	0.018	0.032	0.092	0.131
PARS2	25973	-0.366	0.004	0.075	0.012	0.057	-0.111
AGT	183	-0.101	0.027	0	0.097	0.018	-0.187
TTC22	55001	0.088	0.004	0.075	0.012	0.057	-0.111
C1orf177	163747	0.088	0.004	0.075	0.012	0.057	-0.111
CAPN9	10753	-0.101	0.027	0	0.097	0.018	-0.187
DHCR24	1718	0.088	0.004	0.075	0.012	0.057	-0.111
C1orf198	84886	-0.101	0.027	0	0.097	0.018	-0.187
FAM189B	10712	-0.428	-0.244	0.018	0.032	0.092	0.131
TMEM61	199964	0.088	0.004	0.075	0.012	0.057	-0.111
BSND	7809	0.088	0.004	0.075	0.012	0.057	-0.111
PCSK9	255738	0.088	0.004	0.075	0.012	0.057	-0.111
SCAMP3	10067	-0.428	-0.244	0.018	0.032	0.092	0.131
TTC13	79573	-0.101	0.027	0	0.097	0.018	-0.187
USP24	23358	0.088	0.004	0.075	0.012	0.057	-0.111
CLK2	1196	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
ARV1	64801	-0.101	0.027	0	0.097	0.018	-0.187
FAM89A	375061	-0.101	0.027	0	0.097	0.018	-0.187
FAM89A	100302132	-0.101	0.027	0	0.097	0.018	-0.187
HCN3	57657	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
PPAP2B	8613	0.088	0.004	0.075	0.012	0.057	-0.111
PRKAA2	5563	0.088	0.004	0.075	0.012	0.057	-0.111
PKLR	5313	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
TRIM67	440730	-0.101	0.027	0	0.097	0.018	-0.187
C1orf168	199920	0.088	0.004	0.075	0.012	0.057	-0.111
C8A	731	0.088	0.004	0.075	0.012	0.057	-0.111
C1orf131	128061	-0.101	0.027	0	0.097	0.018	-0.187
FDPS	2224	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
C8B	732	0.088	0.004	0.075	0.012	0.057	-0.111
GNPAT	8443	-0.101	0.027	0	0.097	0.018	-0.187
EXOC8	149371	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
SPRTN	83932	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
DAB1	1600	0.088	0.088	0.088	0.088	0.088	0.088
RUSC1	23623	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
EGLN1	54583	-0.101	0.027	0	0.097	0.018	-0.187
TSNAX	7257	-0.101	0.027	0	0.097	0.018	-0.187
OMA1	115209	0.088	0.088	0.088	0.088	0.088	0.088
TACSTD2	4070	0.088	0.004	0.075	0.012	0.057	-0.111
MYSM1	114803	0.088	0.004	0.075	0.012	0.057	-0.111
ASH1L	55870	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
JUN	3725	0.088	0.004	0.075	0.012	0.057	-0.111
FGGY	55277	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
MSTO1	55154	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
HOOK1	51361	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
CYP2J2	1573	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
DISC1	27185	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
C1orf87	127795	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
NFIA	4774	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
SIPA1L2	57568	-0.101	0.027	0	0.097	0.018	-0.187
YY1AP1	55249	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
MAP10	54627	-0.101	0.027	0	0.097	0.018	-0.187
TM2D1	83941	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
NTPCR	84284	-0.101	0.027	0	0.097	0.018	-0.187
DAP3	7818	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
PCNXL2	80003	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
INADL	10207	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
KCNK1	3775	-0.101	0.027	0	0.097	0.018	-0.187
SLC35F3	148641	-0.101	0.027	0	0.097	0.018	-0.187
L1TD1	54596	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
COA6	388753	-0.101	0.027	0	0.097	0.018	-0.187
KANK4	163782	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
TARBP1	6894	-0.101	0.027	0	0.097	0.018	-0.187
GON4L	54856	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
IRF2BP2	359948	-0.101	0.027	0	0.097	0.018	-0.187
TOMM20	9804	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
USP1	7398	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
RBM34	23029	-0.663	-0.663	-0.663	-0.663	-0.663	-0.663
SYT11	23208	-0.428	-0.504	0.018	0.032	0.092	0.131
RIT1	6016	-0.428	-0.504	0.018	0.032	0.092	0.131
KIAA0907	22889	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
DOCK7	85440	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
RXFP4	339403	-0.428	-0.227	0.018	0.032	0.092	0.131
ARID4B	51742	-0.663	-0.663	-0.663	-0.663	-0.663	-0.663
ARHGEF2	9181	-0.428	-0.227	0.018	0.032	0.092	0.131
ANGPTL3	27329	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
GGPS1	9453	-0.663	-0.663	-0.663	-0.663	-0.663	-0.663
ATG4C	84938	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
TBCE	6905	-0.663	0.027	0	0.097	0.018	-0.187
FOXD3	27022	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
SSR2	6746	-0.428	-0.227	0.018	0.032	0.092	0.131
B3GALNT2	148789	-0.663	0.027	0	0.097	0.018	-0.187
ALG6	29929	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
GNG4	2786	-0.663	0.027	0	0.097	0.018	-0.187
UBQLN4	56893	-0.428	-0.227	0.018	0.032	0.092	0.131
LAMTOR2	28956	-0.428	-0.227	0.018	0.032	0.092	0.131
ITGB3BP	23421	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
RAB25	57111	-0.428	-0.227	0.018	0.032	0.092	0.131
MEX3A	92312	-0.428	-0.227	0.018	0.032	0.092	0.131
EFCAB7	84455	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
LYST	1130	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
PGM1	5236	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
ROR1	4919	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
NID1	4811	-0.107	0.027	0	0.097	0.018	-0.187
UBE2U	148581	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
LMNA	4000	-0.428	-0.227	0.018	0.032	0.092	0.131
GPR137B	7107	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
CACHD1	57685	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
ERO1LB	56605	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
RAVER2	55225	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
JAK1	3716	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
EDARADD	128178	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
SEMA4A	64218	-0.428	-0.227	0.018	0.032	0.092	0.131
AK4	205	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
AK4	100507855	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
SLC25A44	9673	-0.428	-0.227	0.018	0.032	0.092	0.131
PMF1-BGLAP	100527963	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
DNAJC6	9829	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
PMF1	11243	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
PMF1	100527963	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
BGLAP	632	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
PAQR6	79957	-0.428	-0.227	0.018	0.032	0.092	0.131
LGALS8	3964	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
LEPR	3953	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
LEPROT	54741	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
SMG5	23381	-0.428	-0.227	0.018	0.032	0.092	0.131
TMEM79	84283	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
C1orf85	112770	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
PDE4B	5142	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
VHLL	391104	-0.428	-0.227	0.018	0.032	0.092	0.131
HEATR1	55127	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
SGIP1	84251	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
CCT3	7203	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
ACTN2	88	-0.107	0.027	0	0.097	0.018	-0.187
TCTEX1D1	200132	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
INSL5	10022	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
TSACC	128229	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
WDR78	79819	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
RHBG	57127	-0.428	-0.227	0.018	0.032	0.092	0.131
MTR	4548	-0.107	0.027	0	0.097	0.018	-0.187
C1orf61	10485	-0.428	-0.227	0.018	0.032	0.092	0.131
MT1HL1	645745	-0.107	0.027	0	0.097	0.018	-0.187
MEF2D	4209	-0.428	-0.227	0.018	0.032	0.092	0.131
MIER1	57708	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
IQGAP3	128239	-0.428	-0.227	0.018	0.032	0.092	0.131
RYR2	6262	-0.107	0.027	0	0.097	0.018	-0.187
SLC35D1	23169	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
TTC24	164118	-0.428	-0.227	0.018	0.032	0.092	0.131
ZP4	57829	-0.107	0.027	0	0.097	0.018	-0.187
C1orf141	400757	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
APOA1BP	128240	-0.428	-0.227	0.018	0.032	0.092	0.131
CHRM3	1131	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
FMN2	56776	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
GPATCH4	54865	-0.428	-0.227	0.018	0.032	0.092	0.131
IL23R	149233	-0.583	-0.583	-0.583	-0.583	-0.583	-0.583
GREM2	64388	-0.107	0.027	0	0.097	0.018	-0.187
HAPLN2	60484	-0.428	-0.227	0.018	0.032	0.092	0.131
IL12RB2	3595	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
BCAN	63827	-0.428	-0.227	0.018	0.032	0.092	0.131
RGS7	6000	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
NES	10763	-0.428	-0.227	0.018	0.032	0.092	0.131
CRABP2	1382	-0.428	-0.227	0.018	0.032	0.092	0.131
SERBP1	26135	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
ISG20L2	81875	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
FH	2271	-0.107	0.027	0	0.097	0.018	-0.187
RRNAD1	51093	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
GADD45A	1647	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
GNG12	55970	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
DIRAS3	9077	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
MRPL24	79590	-0.428	-0.227	0.018	0.032	0.092	0.131
KMO	8564	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
HDGF	3068	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
OPN3	23596	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
WLS	79971	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
CHML	1122	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
PRCC	5546	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
RPE65	6121	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
SH2D2A	9047	0.027	0.027	0.027	0.027	0.027	0.027
WDR64	128025	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
DEPDC1	55635	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
NTRK1	4914	0.027	0.027	0.027	0.027	0.027	0.027
EXO1	9156	-0.107	0.027	0	0.097	0.018	-0.187
MAP1LC3C	440738	-0.107	0.027	0	0.097	0.018	-0.187
INSRR	3645	0.003	0.003	0.003	0.003	0.003	0.003
LRRC7	57554	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
PLD5	200150	-0.107	0.027	0	0.097	0.018	-0.187
PEAR1	375033	0.003	0.027	0.018	0.032	0.092	0.131
LRRC40	55631	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
LRRC71	149499	0.003	0.027	0.018	0.032	0.092	0.131
SRSF11	9295	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
ARHGEF11	9826	0.003	0.003	0.003	0.003	0.003	0.003
CEP170	9859	-0.107	0.027	0	0.097	0.018	-0.187
ANKRD13C	81573	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
ETV3L	440695	0.003	0.027	0.018	0.032	0.092	0.131
ETV3	2117	0.003	0.003	0.003	0.003	0.003	0.003
HHLA3	11147	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
CTH	1491	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
FCRL5	83416	0.003	0.027	0.018	0.032	0.092	0.131
SDCCAG8	10806	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
FCRL4	83417	0.003	0.027	0.018	0.032	0.092	0.131
PTGER3	5733	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
AKT3	10000	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
ZRANB2	9406	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
ZBTB18	10472	-0.107	0.027	0	0.097	0.018	-0.187
C1orf100	200159	-0.107	0.027	0	0.097	0.018	-0.187
FCRL3	115352	0.003	0.027	0.018	0.032	0.092	0.131
ADSS	159	-0.107	0.027	0	0.097	0.018	-0.187
NEGR1	257194	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
LRRIQ3	127255	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
FCRL2	79368	0.003	0.027	0.018	0.032	0.092	0.131
C1orf101	257044	-0.107	0.027	0	0.097	0.018	-0.187
FPGT	8790	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
FCRL1	115350	0.003	0.027	0.018	0.032	0.092	0.131
DESI2	51029	-0.107	0.027	0	0.097	0.018	-0.187
COX20	116228	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
FPGT-TNNI3K	100526835	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
CD5L	922	0.003	0.003	0.003	0.003	0.003	0.003
TNNI3K	51086	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
TNNI3K	100526835	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
KIRREL	55243	0.003	0.003	0.003	0.003	0.003	0.003
HNRNPU	3192	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
CD1D	912	0.003	0.027	0.018	0.032	0.092	0.131
CD1A	909	0.003	0.027	0.018	0.032	0.092	-0.357
C1orf173	127254	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
CD1C	911	0.003	0.027	0.018	0.032	0.092	-0.357
CD1B	910	0.003	0.027	0.018	0.032	0.092	-0.357
EFCAB2	84288	-0.107	0.027	0	0.097	0.018	-0.187
CRYZ	1429	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
TYW3	127253	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
KIF26B	55083	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
CD1E	913	0.003	0.027	0.018	0.032	0.092	-0.357
LHX8	431707	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
OR10T2	128360	0.003	0.027	0.018	0.032	-0.042	-0.357
SLC44A5	204962	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
OR10K2	391107	0.003	0.027	0.018	0.032	-0.042	-0.357
OR10K1	391109	0.003	0.027	0.018	0.032	-0.042	-0.357
SMYD3	64754	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
OR10R2	343406	0.003	0.027	0.018	0.032	-0.042	-0.357
OR6Y1	391112	0.003	0.027	0.018	0.032	-0.042	-0.357
OR6P1	128366	0.003	0.027	0.018	0.032	-0.042	-0.357
OR10X1	128367	0.003	0.027	0.018	0.032	-0.042	-0.357
OR10Z1	128368	0.003	0.027	0.018	0.032	-0.042	-0.357
TFB2M	64216	-0.107	0.027	0	0.097	0.018	-0.187
CNST	163882	-0.107	0.027	0	0.097	0.018	-0.187
SPTA1	6708	0.003	0.027	0.018	0.032	-0.042	-0.357
SCCPDH	51097	-0.107	0.027	0	0.097	0.018	-0.187
ACADM	34	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
OR6K2	81448	0.003	0.027	0.018	0.032	-0.042	-0.357
OR6K3	391114	0.003	0.027	0.018	0.032	-0.042	-0.357
OR6K6	128371	0.003	0.027	0.018	0.032	-0.042	-0.357
OR6N1	128372	0.003	0.027	0.018	0.032	-0.042	-0.357
OR6N2	81442	0.003	0.027	0.018	0.032	-0.042	-0.357
MNDA	4332	0.003	0.027	0.018	0.032	-0.042	-0.357
RABGGTB	5876	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
RABGGTB	26804	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
RABGGTB	26805	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
RABGGTB	692085	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
PYHIN1	149628	0.003	0.027	0.018	0.032	-0.042	-0.357
AHCTF1	25909	-0.107	0.027	0	0.097	0.018	-0.187
MSH4	4438	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
ASB17	127247	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
ST6GALNAC3	256435	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
ST6GALNAC5	81849	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
ZNF670	93474	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
PIGK	10026	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
IFI16	3428	0.003	0.027	0.018	0.032	-0.042	-0.357
ZNF695	57116	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
AK5	26289	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
ZNF669	79862	-0.107	0.027	0	0.097	0.018	-0.187
AIM2	9447	0.003	0.027	0.018	0.032	-0.042	-0.357
C1orf229	388759	-0.107	0.027	0	0.097	0.018	-0.187
ZNF124	7678	-0.107	0.027	0	0.097	0.018	-0.187
CADM3	57863	0.003	0.003	0.003	0.003	0.003	0.003
ZNF496	84838	-0.107	0.027	0	0.097	0.018	-0.187
DARC	2532	0.003	0.003	0.003	0.003	0.003	0.003
FCER1A	2205	0.003	0.027	0.018	0.032	-0.042	-0.357
OR10J3	441911	0.003	0.027	0.018	0.032	-0.042	-0.357
OR10J1	26476	0.003	0.027	0.018	0.032	-0.042	-0.357
OR10J5	127385	0.003	0.027	0.018	0.032	-0.042	-0.357
APCS	325	0.003	0.027	0.018	0.032	-0.042	-0.357
CRP	1401	0.003	0.027	0.018	0.032	-0.042	0.02
NLRP3	114548	-0.107	0.027	0	0.097	0.018	-0.187
DUSP23	54935	0.003	0.027	0.018	0.032	-0.042	0.02
OR2B11	127623	-0.107	0.027	0	0.097	0.018	-0.187
GCSAML	148823	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
OR2C3	81472	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
GPRIN2	9721	-0.368	-0.534	-0.64	-0.207	-0.297	-0.4
NPY4R	5540	-0.368	-0.368	-0.368	-0.368	-0.368	-0.368
NPY4R	100996758	-0.368	-0.368	-0.368	-0.368	-0.368	-0.368
